,tag,pop,orig_x,orig_y,dest_x,dest_y,leave_time_start,leave_time_end,arrival_time_start,arrival_time_end,take_car,take_transit,take_ondemand,take_walk
0,person0,1.0,-85.28435542450046,35.014761603894826,-85.30575047242827,35.02893009088175,0,0,0,0,True,True,True,True
1,person1,1.0,-85.28843535148025,34.998058984880764,-85.30821533519244,35.036602974117166,0,0,0,0,True,True,True,True
2,person2,1.0,-85.28797336344597,34.998411189666044,-85.3031789055925,35.031809960394824,0,0,0,0,True,True,True,True
3,person3,1.0,-85.29818679142767,35.0065063491333,-85.31778258121949,35.03489732764733,0,0,0,0,True,True,True,True
4,person4,1.0,-85.28447832605512,35.01595463717605,-85.29106539240007,35.04740468996032,0,0,0,0,True,True,True,True
5,person5,1.0,-85.2945519314889,35.00893357199881,-85.29464068509185,35.013909342687896,0,0,0,0,True,True,True,True
6,person6,1.0,-85.28585070328707,35.015428267742735,-85.28332931694682,35.05553956751939,0,0,0,0,True,True,True,True
7,person7,1.0,-85.2797060858275,34.99530526965446,-85.2894215306815,34.987787989622184,0,0,0,0,True,True,True,True
8,person8,1.0,-85.28233262440408,35.00497064244019,-85.30589006890573,35.03568913372296,0,0,0,0,True,True,True,True
9,person9,1.0,-85.30913085895547,35.005719279605444,-85.2896443781499,35.04899977944583,0,0,0,0,True,True,True,True
10,person10,1.0,-85.29606004347175,35.00337424331032,-85.29466293259594,35.0130996859939,0,0,0,0,True,True,True,True
11,person11,1.0,-85.28003454408308,34.99903440786668,-85.30135797129336,35.04466061438201,0,0,0,0,True,True,True,True
12,person12,1.0,-85.28818347092566,34.996300982423634,-85.30655826754841,35.02908810178165,0,0,0,0,True,True,True,True
13,person13,1.0,-85.31218544654486,35.00672855832125,-85.27291644806566,35.054527850027505,0,0,0,0,True,True,True,True
14,person14,1.0,-85.28740957735289,34.99782772924922,-85.31487503981144,35.0321093565609,0,0,0,0,True,True,True,True
15,person15,1.0,-85.28474041995092,35.01561726838503,-85.3091186819722,35.03655317992494,0,0,0,0,True,True,True,True
16,person16,1.0,-85.29584037861906,35.00389809933793,-85.28991278266459,35.04857920880861,0,0,0,0,True,True,True,True
17,person17,1.0,-85.28314981208774,35.0140242546741,-85.29015680494369,35.04936447032673,0,0,0,0,True,True,True,True
18,person18,1.0,-85.28000600458468,35.000674159076965,-85.2932371833119,35.043559789155374,0,0,0,0,True,True,True,True
19,person19,1.0,-85.29330293584476,34.99937888483595,-85.31206254137189,35.035326239393434,0,0,0,0,True,True,True,True
20,person20,1.0,-85.28398161339837,35.01593307980824,-85.27978684427259,35.04624806675366,0,0,0,0,True,True,True,True
21,person21,1.0,-85.28413900880116,35.01503381790722,-85.28238113635366,35.01439449130572,0,0,0,0,True,True,True,True
22,person22,1.0,-85.27947102984407,34.99493260713764,-85.30933819819103,35.050001567088536,0,0,0,0,True,True,True,True
23,person23,1.0,-85.29632569681439,35.007122212464,-85.29134325175424,34.99589989522128,0,0,0,0,True,True,True,True
