"GEO_ID","NAME","B992512_001E","B992512_001EA","B992512_002E","B992512_002EA","B992512_003E","B992512_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Allocated","Annotation of Estimate!!Total:!!Allocated","Estimate!!Total:!!Not allocated","Annotation of Estimate!!Total:!!Not allocated",
"1500000US470650004001","Block Group 1, Census Tract 4, Hamilton County, Tennessee","680","null","20","null","660","null",
"1500000US470650004002","Block Group 2, Census Tract 4, Hamilton County, Tennessee","0","null","0","null","0","null",
"1500000US470650004003","Block Group 3, Census Tract 4, Hamilton County, Tennessee","819","null","0","null","819","null",
"1500000US470650006001","Block Group 1, Census Tract 6, Hamilton County, Tennessee","452","null","0","null","452","null",
"1500000US470650006002","Block Group 2, Census Tract 6, Hamilton County, Tennessee","635","null","12","null","623","null",
"1500000US470650006003","Block Group 3, Census Tract 6, Hamilton County, Tennessee","552","null","0","null","552","null",
"1500000US470650007001","Block Group 1, Census Tract 7, Hamilton County, Tennessee","408","null","0","null","408","null",
"1500000US470650007002","Block Group 2, Census Tract 7, Hamilton County, Tennessee","327","null","0","null","327","null",
"1500000US470650007003","Block Group 3, Census Tract 7, Hamilton County, Tennessee","569","null","0","null","569","null",
"1500000US470650007004","Block Group 4, Census Tract 7, Hamilton County, Tennessee","775","null","0","null","775","null",
"1500000US470650008001","Block Group 1, Census Tract 8, Hamilton County, Tennessee","1017","null","4","null","1013","null",
"1500000US470650011001","Block Group 1, Census Tract 11, Hamilton County, Tennessee","453","null","0","null","453","null",
"1500000US470650011002","Block Group 2, Census Tract 11, Hamilton County, Tennessee","241","null","0","null","241","null",
"1500000US470650012001","Block Group 1, Census Tract 12, Hamilton County, Tennessee","465","null","0","null","465","null",
"1500000US470650012002","Block Group 2, Census Tract 12, Hamilton County, Tennessee","507","null","0","null","507","null",
"1500000US470650012003","Block Group 3, Census Tract 12, Hamilton County, Tennessee","0","null","0","null","0","null",
"1500000US470650012004","Block Group 4, Census Tract 12, Hamilton County, Tennessee","418","null","0","null","418","null",
"1500000US470650013001","Block Group 1, Census Tract 13, Hamilton County, Tennessee","396","null","4","null","392","null",
"1500000US470650013002","Block Group 2, Census Tract 13, Hamilton County, Tennessee","422","null","0","null","422","null",
